Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
BIENY,06-05-2024,42.5,-3.63,19.5,42.89,43.11,43.71,44.93,42.87,43.21,42.64,43.43,49.45,43.13,10377798.33,42.87,-,-,-,,,,,-_04-03-2024 09:00:00,-_06-05-2024 09:00:00,,,-,,,,,-,-,,,-,,0,7
BFREN,06-05-2024,917.0,-9.12,84.34,993.82,1014.05,1019.0,991.93,982.55,1017.31,1014.29,1045.49,406.96,945.83,678012.67,47.41,,,,,,,,-_15-04-2024 09:00:00,+_03-07-2023 09:00:00,,-,,,,-,,,,,,,,0,2
ISKPL,06-05-2024,8.51,-4.49,31.51,8.61,8.59,8.55,8.47,8.62,8.58,8.52,8.62,7.2,8.66,13401954.67,51.13,-,-,-,,,,,+_22-04-2024 09:00:00,+_15-04-2024 09:00:00,,,-,,,,,-,-,,,,,0,6
TMPOL,06-05-2024,95.5,-1.65,-15.71,99.5,100.57,99.96,96.5,98.7,100.62,101.18,102.65,40.55,96.92,1655758.0,51.29,,,,,-,,,-_29-04-2024 09:00:00,+_19-06-2023 09:00:00,,,,,,-,,,-,,,,,0,3
BEGYO,06-05-2024,4.0,-24.95,72.03,4.61,4.66,4.69,4.66,4.58,4.67,4.59,4.75,4.56,4.51,131695224.0,44.2,-,-,-,-,-,-,-,-_06-05-2024 09:00:00,-_06-05-2024 09:00:00,,,-,-,-,,-,-,-,,-,-,,0,15
ATATP,06-05-2024,143.0,-0.76,89.0,140.49,136.95,132.15,123.33,141.95,135.97,136.1,133.75,44.32,145.63,5760873.0,60.78,,,,,,,,+_15-04-2024 09:00:00,+_06-05-2024 09:00:00,,,,,,,,,-,,,,,0,1
AZTEK,06-05-2024,100.8,-8.28,-12.19,107.22,110.87,115.01,115.53,106.03,111.95,107.57,115.21,68.21,104.7,4358621.33,44.37,,,,,,,,-_18-03-2024 09:00:00,-_01-04-2024 09:00:00,,,-,,,,,-,-,,,,,0,3
BAGFS,06-05-2024,25.8,-1.9,5.91,25.43,25.56,26.29,27.55,25.5,25.67,24.95,25.59,21.32,25.62,10170565.33,44.01,,,,,,,,-_18-12-2023 09:00:00,-_25-12-2023 09:00:00,,,,,,-,,,-,,,,,0,2
TEZOL,06-05-2024,21.56,-7.78,104.22,22.31,22.35,22.19,21.67,22.26,22.34,22.29,22.63,10.8,22.58,25479533.33,51.2,-,-,-,-,,,-,-_06-05-2024 09:00:00,+_15-01-2024 09:00:00,,,-,-,,,,-,,,,,,0,8
ISGYO,06-05-2024,15.92,0.0,7.5,15.81,15.92,16.3,16.79,15.81,15.99,15.67,16.0,10.48,15.9,46009862.33,45.13,,,,,,,,-_26-02-2024 09:00:00,-_25-12-2023 09:00:00,,,,,,-,,,,,,,,0,1
GENIL,06-05-2024,57.1,-1.89,53.52,59.35,60.9,61.69,61.28,58.67,61.2,60.44,63.78,34.69,58.32,5628709.33,44.65,,,,,,,,-_08-04-2024 09:00:00,-_22-04-2024 09:00:00,,,,,,,,-,-,,,,,0,2
ATAKP,06-05-2024,44.6,-5.47,44.65,46.17,46.98,48.31,50.04,45.95,47.26,45.88,47.98,55.44,45.45,5972610.33,41.94,-,,,,,,,-_18-03-2024 09:00:00,-_18-03-2024 09:00:00,,,-,,,,,-,-,,,,,0,4
KLRHO,06-05-2024,41.94,-6.8,-39.89,43.39,43.94,44.04,42.78,43.17,44.04,43.2,45.38,24.53,42.83,3385846.67,50.77,-,-,-,,,,,-_25-03-2024 09:00:00,+_06-05-2024 09:00:00,,,-,,,,,-,-,,,,,0,6
VRGYO,06-05-2024,29.5,-5.99,0.29,33.4,35.19,35.98,35.38,32.52,35.52,35.07,38.01,32.45,30.28,17295015.0,43.87,,,,,,,,-_08-04-2024 09:00:00,-_29-04-2024 09:00:00,,,,,,,,,-,,,,,0,1
KMPUR,06-05-2024,59.5,-6.74,10.83,62.2,62.4,62.93,63.7,62.1,62.49,61.88,62.53,51.65,60.5,9557805.0,44.53,-,-,-,-,-,,-,-_06-05-2024 09:00:00,-_11-03-2024 09:00:00,,,,-,,,,,-,,-,-,-,0,11
KLSYN,06-05-2024,6.53,-4.39,-9.4,6.52,6.48,6.42,6.31,6.54,6.47,6.44,6.49,4.35,6.65,12380032.67,54.03,,,,,,,,+_22-04-2024 09:00:00,+_05-02-2024 09:00:00,,,-,-,,,,-,-,,,,,0,4
KBORU,06-05-2024,96.05,-7.64,44.52,105.49,109.8,112.56,112.38,103.61,110.73,107.52,117.02,108.18,101.17,10838071.33,43.7,,,,,,,,-_25-03-2024 09:00:00,-_22-04-2024 09:00:00,,,,,,,,,-,,,,,0,1
YEOTK,06-05-2024,204.9,-13.29,-25.98,217.13,218.41,218.94,215.78,216.54,218.69,216.68,221.11,83.19,212.47,11381360.0,48.47,-,-,-,-,-,,-,-_06-05-2024 09:00:00,+_08-01-2024 09:00:00,,,-,-,,,,-,-,,,-,,0,11
AHGAZ,06-05-2024,13.22,-2.79,-2.35,13.35,13.33,13.24,13.06,13.35,13.32,13.35,13.41,10.94,13.35,40868728.0,52.7,-,-,-,,,,,+_22-04-2024 09:00:00,+_29-01-2024 09:00:00,,,-,-,,,,-,-,,,,,0,7
AGROT,06-05-2024,30.04,-6.07,23.0,32.15,32.48,31.8,30.2,31.84,32.42,32.86,33.63,26.43,30.87,58943867.67,51.23,,,,-,,,-,-_06-05-2024 09:00:00,+_06-05-2024 09:00:00,,,,,,,,-,-,,-,,,0,5
TUKAS,06-05-2024,7.87,-11.67,-14.05,8.3,8.31,8.29,8.23,8.28,8.31,8.28,8.38,4.94,8.03,156739259.67,47.1,-,-,-,-,,,-,-_06-05-2024 09:00:00,+_15-04-2024 09:00:00,,,-,-,-,-,,-,-,,-,-,,0,13
KCAER,06-05-2024,59.25,-3.5,26.45,57.98,55.94,52.66,48.04,58.67,55.27,56.53,54.66,26.7,61.27,50856034.0,70.46,,,,,,,,+_25-12-2023 09:00:00,+_06-05-2024 09:00:00,,,,,,,,-,-,,,,,0,2
KLMSN,06-05-2024,33.7,-12.87,42.74,34.06,33.49,32.62,31.22,34.3,33.32,33.25,33.36,17.66,36.36,9224089.67,56.44,-,,,,,,,+_15-04-2024 09:00:00,+_15-01-2024 09:00:00,,,-,-,,-,,-,,,,,,0,5
KLKIM,06-05-2024,24.3,-7.11,39.52,25.84,26.3,26.52,26.27,25.62,26.38,26.15,27.04,11.61,25.01,9700810.67,45.43,,,,,,-,,-_01-04-2024 09:00:00,-_06-05-2024 09:00:00,,,,,,,,-,-,,,,,0,3
ADGYO,06-05-2024,28.0,-3.45,-21.18,29.33,30.09,30.96,31.69,29.06,30.3,29.47,31.1,32.67,28.13,9261120.67,38.33,,,,,,,,-_18-03-2024 09:00:00,-_25-03-2024 09:00:00,,-,,,,,,,-,,,,,0,2
YYLGD,06-05-2024,13.15,-9.81,7.99,13.75,13.87,14.1,14.45,13.71,13.91,13.69,14.01,13.53,13.62,47649136.0,41.95,-,-,-,,,,,-_11-03-2024 09:00:00,-_04-03-2024 09:00:00,,,-,-,,,-,-,-,,,-,,0,9
