Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
ACSEL,03-04-2024,144.1,-0.69,-55.29,147.04,149.39,152.72,155.3,146.28,150.14,147.73,151.43,120.52,143.6,158304.67,40.16,,,,,,,,-_14-03-2024 09:00:00,-_21-03-2024 09:00:00,,,,,,-,,+,-,-,,,,1,3
ADEL,03-04-2024,614.0,-0.73,-51.56,632.21,643.67,650.26,642.99,627.3,646.13,639.72,660.72,432.27,614.0,242861.33,46.39,,,,,,,,-_27-03-2024 09:00:00,-_02-04-2024 09:00:00,,,,,,+,,,-,,,,,1,1
ADESE,03-04-2024,2.18,0.93,-40.26,2.22,2.27,2.36,2.46,2.21,2.29,2.24,2.31,2.15,2.17,40140728.0,27.68,,,,,,,,-_12-03-2024 09:00:00,-_14-03-2024 09:00:00,,,,,,-,,+,,,,,,1,1
AGESA,03-04-2024,72.3,-0.96,-81.57,72.97,72.97,72.67,71.63,72.95,72.94,72.79,73.08,55.25,72.37,513618.33,54.14,,,-,,,,,+_29-03-2024 09:00:00,+_25-01-2024 09:00:00,,,,,,+,,,-,,,,,1,2
AGROT,03-04-2024,38.6,-5.72,-12.01,38.11,37.14,36.11,35.3,38.46,36.88,37.64,36.01,25.39,39.65,39110638.33,58.62,,,,,,,,+_26-03-2024 09:00:00,+_27-03-2024 09:00:00,,+,,,,,,-,-,,,,,1,2
AKBNK,03-04-2024,48.92,-0.77,-59.01,47.9,47.03,45.91,44.72,48.21,46.77,47.38,46.21,33.99,48.99,78413406.0,68.65,,,,,,,,+_19-03-2024 09:00:00,+_19-03-2024 09:00:00,,,,,,+,,-,-,,,,,1,2
AKENR,03-04-2024,16.89,9.96,-42.64,14.46,13.22,11.72,10.18,14.96,12.87,13.65,12.09,5.68,16.83,31066715.0,89.28,,,,,,,,+_14-03-2024 09:00:00,+_22-01-2024 09:00:00,,,,,,+,,,,,,,,1,0
AKFYE,03-04-2024,21.82,0.74,-54.16,22.22,22.84,23.79,24.61,22.05,23.05,22.31,23.39,19.16,21.77,5417700.67,35.76,,,,,,,,-_19-03-2024 09:00:00,-_21-03-2024 09:00:00,,,,,,-,,+,,,,,,1,1
AKGRT,03-04-2024,6.55,0.77,-59.99,6.39,6.32,6.26,6.23,6.42,6.31,6.34,6.26,5.4,6.61,30902422.33,60.67,,,,,,,,+_21-03-2024 09:00:00,+_25-03-2024 09:00:00,,,,,,+,,-,,,,,,1,1
AKMGY,03-04-2024,276.0,-0.54,-72.11,283.31,284.81,283.06,275.2,282.31,284.83,284.03,289.27,168.98,276.92,126881.33,52.63,,,,,,,,-_02-04-2024 09:00:00,+_05-01-2024 09:00:00,,,,,,+,,,-,-,,,,1,2
AKSUE,03-04-2024,13.12,-0.76,-50.83,13.28,13.35,13.47,13.62,13.25,13.38,13.33,13.39,16.39,13.12,639224.67,41.13,,,,,,,,-_04-03-2024 09:00:00,-_12-03-2024 09:00:00,,,,,,-,,+,-,-,,,,1,3
ALARK,03-04-2024,126.0,1.37,-14.17,127.12,127.67,127.95,127.55,126.8,127.77,127.91,128.12,104.22,124.8,4966751.33,48.7,,,,,,,,-_02-04-2024 09:00:00,-_02-04-2024 09:00:00,-,-,,,,-,,+,,,,,-,1,4
AYES,03-04-2024,38.0,1.6,21.98,38.87,39.78,40.92,41.65,38.56,40.06,39.2,40.63,33.12,37.17,39450.0,37.8,,,,,,,,-_20-03-2024 09:00:00,-_25-03-2024 09:00:00,,,,,,-,,+,,,,,,1,1
ALKA,03-04-2024,26.24,-0.38,-53.7,26.88,27.69,28.95,30.25,26.64,27.97,27.1,28.39,29.68,25.95,642666.33,30.69,,,,,,,,-_14-03-2024 09:00:00,-_18-03-2024 09:00:00,,,,,,-,,+,-,-,,,,1,3
ALKIM,03-04-2024,30.38,-0.59,-50.23,31.39,32.33,33.7,35.21,31.08,32.63,31.75,33.2,36.19,30.28,1000533.0,21.91,,,,,,,,-_05-03-2024 09:00:00,-_12-03-2024 09:00:00,,,,,,-,,+,-,,,,,1,2
ALTIN,03-04-2024,24.38,-1.46,-7.47,24.62,24.58,24.52,24.4,24.61,24.57,24.65,24.5,20.41,24.55,33348507.0,51.1,-,-,-,,,,,+_27-03-2024 09:00:00,+_25-03-2024 09:00:00,,,,-,,+,,,-,-,-,,,1,7
ANELE,03-04-2024,17.62,-2.65,-57.56,18.16,18.16,17.94,17.47,18.1,18.13,18.37,18.23,11.29,17.77,869472.67,53.95,,,-,-,,,-,-_03-04-2024 09:00:00,+_28-12-2023 09:00:00,,,,,,+,,,-,,,,,1,4
ANGEN,03-04-2024,12.54,-0.48,-65.93,12.51,12.53,12.63,12.81,12.52,12.55,12.47,12.51,13.8,12.62,1856408.0,40.92,,,,,,,,-_11-03-2024 09:00:00,-_27-02-2024 09:00:00,,,,,,-,,,-,,+,,,1,2
ANSGR,03-04-2024,71.15,-1.45,-54.05,70.73,70.8,71.06,71.13,70.82,70.86,70.23,70.93,53.35,71.13,1609751.0,50.44,,,,,,,,-_22-03-2024 09:00:00,-_26-03-2024 09:00:00,,,,,,+,,,-,,,,,1,1
ARTMS,03-04-2024,46.88,4.18,1.95,47.55,48.46,49.17,49.23,47.21,48.68,47.86,49.87,48.4,46.16,804718.33,47.26,,,,,,,,-_26-03-2024 09:00:00,-_28-03-2024 09:00:00,,,,,,,,+,,,,,-,1,1
ASUZU,03-04-2024,88.5,-3.75,-36.21,89.97,88.55,85.82,82.67,90.16,87.98,90.67,87.1,70.89,89.22,4024701.33,60.9,-,-,,,,,,+_15-03-2024 09:00:00,+_18-03-2024 09:00:00,,,-,,,+,,,-,,,,,1,4
ATAKP,03-04-2024,41.78,0.48,-53.83,42.28,43.0,44.48,46.57,42.11,43.28,42.28,43.34,58.77,41.59,785433.33,29.87,,,,,,,,-_12-03-2024 09:00:00,-_03-04-2024 09:00:00,,,,,,,,+,,-,,,,1,1
ATATP,03-04-2024,103.0,1.58,-17.38,104.04,105.41,108.36,113.25,103.62,105.94,104.6,106.02,87.16,102.93,761405.0,38.32,,,,,,,,-_06-03-2024 09:00:00,-_06-03-2024 09:00:00,,,,,,-,,+,,,,,,1,1
AVOD,03-04-2024,3.22,0.0,-31.81,3.29,3.34,3.4,3.46,3.28,3.35,3.32,3.38,3.48,3.21,5344659.67,36.09,,,,,,,,-_23-02-2024 09:00:00,-_05-03-2024 09:00:00,,,,,,-,,+,,,,,,1,1
EPLAS,03-04-2024,6.05,-1.47,-47.86,6.14,6.16,6.21,6.29,6.14,6.17,6.14,6.14,6.27,6.08,2145266.33,42.05,,,,-,,,-,-_03-04-2024 09:00:00,-_14-03-2024 09:00:00,+,,,,,-,,,-,,,,,1,4
