Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
24-06-2024 09:00,MNDTR,6.25,7.06,6.12,7.06,35097472.0,0.0,0.81,0.05,1623.4,0.81,21533451.2,62.99,True,55.46,2024-06-24,13.14,0,,5.02,8.07,False,False
20-06-2024 09:00,KERVT,15.19,17.33,14.86,16.8,33444830.0,0.53,1.61,0.35,356.09,1.61,18256871.6,83.19,True,66.78,2024-06-20,17.24,0,,8.52,ATH,False,False
10-06-2024 09:00,LINK,430.0,497.25,393.25,482.75,1634107.0,14.5,52.75,10.7,392.99,52.75,834531.7,95.81,True,67.23,2024-06-10,12.53,0,,357.75,ATH,False,False
10-06-2024 09:00,SAFKR,42.2,47.7,40.6,47.44,7963198.0,0.26,5.24,0.7,644.32,5.24,4942694.5,61.11,True,66.32,2024-06-10,10.84,0,,34.24,48.76,False,False
10-06-2024 09:00,ANHYT,106.8,138.0,97.1,131.1,15627391.0,6.9,24.3,7.87,208.73,24.3,8634958.8,80.98,True,91.17,2024-06-10,22.52,0,,40.28,ATH,False,False
03-06-2024 09:00,CEMTS,9.97,12.23,9.81,11.7,98235008.0,0.53,1.73,0.17,917.65,1.73,45406649.2,116.34,True,54.42,2024-06-03,17.59,0,,8.88,14.18,False,False
03-06-2024 09:00,ISKPL,9.95,11.27,9.82,11.2,28603125.0,0.07,1.25,0.29,323.73,1.25,17337249.1,64.98,True,70.17,2024-06-03,12.11,0,,7.62,13.69,False,False
03-06-2024 09:00,KZBGY,21.14,26.7,20.9,26.14,36360639.0,0.56,5.0,0.59,747.46,5.0,17880246.7,103.36,True,59.38,2024-06-03,23.65,0,,18.18,28.58,False,False
03-06-2024 09:00,TEKTU,4.51,5.66,4.18,5.66,149249528.0,0.0,1.15,0.23,391.45,1.15,65846643.1,126.66,True,70.81,2024-06-03,24.12,0,,3.0,ATH,False,False
03-06-2024 09:00,KAPLM,193.3,269.75,193.3,251.5,2522203.0,18.25,58.2,5.44,969.85,58.2,813005.8,210.23,True,74.5,2024-06-03,43.06,0,,150.5,ATH,False,False
27-05-2024 09:00,IHYAY,3.31,4.27,3.2,4.2,88635641.0,0.07,0.89,0.13,595.31,0.89,36293813.9,144.22,True,70.76,2024-05-27,26.89,0,,2.3,ATH,False,False
27-05-2024 09:00,FENER,109.0,127.0,104.5,124.4,39708604.0,2.6,15.4,3.65,322.5,15.4,17512237.0,126.75,True,65.39,2024-05-27,15.72,0,,80.3,130.3,False,False
20-05-2024 09:00,ARZUM,45.14,66.9,44.5,66.9,18941083.0,0.0,21.76,1.07,1931.75,21.76,7003646.1,170.45,True,68.21,2024-05-20,48.21,0,,27.5,ATH,False,False
20-05-2024 09:00,DEVA,86.8,106.0,86.8,102.7,26933733.0,3.3,15.9,1.55,922.51,15.9,5256980.6,412.34,True,73.93,2024-05-20,30.08,1,106.0,67.05,106.0,False,False
20-05-2024 09:00,EREGL,23.43,24.75,23.43,24.71,1840840262.0,0.04,1.28,0.2,540.0,1.28,932150041.6,97.48,True,65.95,2024-05-20,5.46,0,,19.11,25.5,False,False
20-05-2024 09:00,ATAKP,46.54,54.85,46.02,53.25,13301133.0,1.6,6.71,0.05,14487.08,6.71,6077893.8,118.84,True,53.13,2024-05-20,14.42,1,54.85,41.08,54.85,False,False
20-05-2024 09:00,ALBRK,5.3,6.47,5.23,6.21,265662994.0,0.26,0.91,0.2,366.67,0.91,146694481.4,81.1,True,78.98,2024-05-20,17.17,0,,4.03,ATH,False,False
20-05-2024 09:00,BMSTL,16.68,19.39,16.18,19.2,27386086.24,0.19,2.51,0.19,1250.79,2.51,11074500.0,147.29,True,66.4,2024-05-20,15.47,0,,14.64,21.63,False,False
20-05-2024 09:00,BOSSA,8.1,9.52,7.65,9.31,88783516.0,0.21,1.21,0.38,223.57,1.21,41820877.4,112.29,True,83.11,2024-05-20,17.91,0,,4.79,ATH,False,False
20-05-2024 09:00,VKFYO,22.62,27.32,22.58,26.14,15682532.0,1.18,3.52,0.29,1130.77,3.52,6601685.9,137.55,True,56.48,2024-05-20,15.56,0,,19.0,40.0,True,True
20-05-2024 09:00,PCILT,14.6,17.2,14.17,17.15,35560047.0,0.05,2.55,0.26,888.37,2.55,12955587.9,174.48,True,62.73,2024-05-20,19.26,0,,11.61,19.17,False,False
13-05-2024 09:00,ULKER,120.2,137.0,115.4,135.5,51841989.0,1.5,15.3,2.08,635.58,15.3,30854953.7,68.02,True,78.46,2024-05-13,13.01,0,,26.84,ATH,False,False
13-05-2024 09:00,IHAAS,15.6,19.62,15.0,18.62,36032707.0,1.0,3.02,0.29,927.21,3.02,8847969.2,307.24,True,58.8,2024-05-13,21.15,0,,12.87,27.28,True,False
13-05-2024 09:00,AYDEM,30.98,33.72,29.16,33.0,24725960.0,0.72,2.02,0.44,361.19,2.02,14797464.2,67.1,True,68.91,2024-05-13,8.91,0,,24.4,ATH,False,False
13-05-2024 09:00,PINSU,7.9,8.99,7.63,8.91,21315401.68,0.08,1.01,0.11,794.12,1.01,12593449.72,69.26,True,77.56,2024-05-13,12.64,0,,2.83,ATH,False,False
13-05-2024 09:00,MERIT,11.06,13.31,10.71,13.31,31812153.5,0.0,2.25,0.37,506.74,2.25,18993785.25,67.49,True,83.96,2024-05-13,20.26,0,,4.47,ATH,False,False
13-05-2024 09:00,BRKO,7.92,10.01,7.92,9.69,9171838.0,0.32,1.77,0.52,240.38,1.77,5614695.2,63.35,True,87.48,2024-05-13,27.5,0,,3.14,ATH,False,False
13-05-2024 09:00,AKSEN,40.5,44.54,38.68,44.54,59490910.0,0.0,4.04,0.24,1611.86,4.04,30449729.0,95.37,True,67.29,2024-05-13,10.8,0,,33.46,ATH,False,False
06-05-2024 09:00,SANKO,25.3,29.0,24.64,28.64,9052335.0,0.36,3.34,0.15,2126.67,3.34,3935675.2,130.01,True,65.02,2024-05-06,13.2,0,,16.7,31.98,False,False
06-05-2024 09:00,VAKKO,100.1,113.5,97.0,111.2,12595629.0,2.3,11.1,1.57,604.76,11.1,2829701.9,345.12,True,73.06,2024-05-06,22.2,0,,75.6,114.0,False,False
06-05-2024 09:00,SUWEN,19.99,23.2,19.77,23.2,17124527.0,0.0,3.21,0.11,2872.22,3.21,8400896.0,103.84,True,57.72,2024-05-06,16.41,0,,19.06,24.2,False,False
06-05-2024 09:00,RODRG,28.1,38.0,27.8,36.72,6784120.0,1.27,8.62,1.23,598.38,8.62,3243445.6,109.16,True,78.16,2024-05-06,30.69,0,,11.5,ATH,False,False
06-05-2024 09:00,LRSHO,3.23,3.53,3.06,3.49,165490786.0,0.04,0.26,0.0,25900.0,0.26,102776731.7,61.02,True,65.24,2024-05-06,8.05,0,,1.93,3.67,False,False
06-05-2024 09:00,BEYAZ,26.06,33.96,25.0,33.96,17153159.0,0.0,7.9,1.08,628.78,7.9,10593120.0,61.93,True,77.34,2024-05-06,31.12,0,,20.98,ATH,False,False
06-05-2024 09:00,FMIZP,351.0,404.25,347.0,404.25,2081371.0,0.0,53.25,4.2,1167.86,53.25,1225503.3,69.84,True,68.68,2024-05-06,15.67,0,,254.0,420.0,False,False
06-05-2024 09:00,CVKMD,471.25,510.0,436.0,501.0,4971093.0,9.0,29.75,6.8,337.5,29.75,2986043.6,66.48,True,67.54,2024-05-06,6.03,0,,384.5,508.0,False,False
06-05-2024 09:00,PARSN,123.1,140.0,123.1,137.7,7414858.0,2.3,14.6,0.76,1821.05,14.6,2971049.9,149.57,True,64.95,2024-05-06,12.04,1,140.0,93.0,140.0,False,False
29-04-2024 09:00,OSMEN,12.24,16.27,12.24,16.27,51731377.49,0.0,4.03,0.29,1279.59,4.03,15954089.31,224.25,True,72.07,2024-04-29,46.24,0,,9.46,ATH,False,False
29-04-2024 09:00,SEYKM,4.94,6.19,4.92,6.19,108563725.72,0.0,1.25,0.25,411.36,1.25,47129226.25,130.35,True,80.1,2024-04-29,26.25,1,6.19,3.19,ATH,False,False
29-04-2024 09:00,GRSEL,95.5,112.8,95.0,109.0,8587009.0,3.8,13.5,2.52,435.71,13.5,5629615.0,52.53,True,76.8,2024-04-29,14.14,0,,65.0,ATH,False,False
29-04-2024 09:00,YATAS,32.36,35.92,31.5,35.92,14126991.0,0.0,3.56,0.1,3460.0,3.56,9004050.6,56.9,True,61.81,2024-04-29,12.25,0,,26.3,46.38,False,False
