Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip
13-06-2024 15:00,CEMTS,11.49,12.08,11.49,12.0,4667453.0,0.08,0.51,0.07,598.63,0.51,1284164.0,263.46,True,0,,11.12,12.23,False
13-06-2024 15:00,KOZAA,53.35,55.0,53.2,54.6,3377357.0,0.4,1.25,0.2,525.0,1.25,1240159.7,172.33,True,0,,49.7,ATH,False
13-06-2024 15:00,LILAK,27.5,28.0,27.48,27.94,619284.0,0.06,0.44,0.1,358.33,0.44,406911.7,52.19,True,0,,26.44,ATH,False
13-06-2024 14:00,BORLS,32.22,32.8,32.22,32.78,263236.0,0.02,0.56,0.13,324.24,0.56,162479.6,62.01,True,0,,31.24,36.3,True
13-06-2024 14:00,INDES,8.56,8.72,8.55,8.69,899978.0,0.03,0.13,0.03,400.0,0.13,559486.9,60.86,True,0,,8.3,9.01,False
13-06-2024 14:00,SKTAS,5.53,5.9,5.53,5.85,421172.0,0.05,0.32,0.07,363.77,0.32,181489.1,132.06,True,1,5.9,5.2,5.9,False
13-06-2024 14:00,TEZOL,17.6,17.96,17.57,17.88,445059.0,0.08,0.28,0.03,748.48,0.28,244981.0,81.67,True,0,,17.09,17.99,False
13-06-2024 13:00,BEGYO,3.31,3.55,3.3,3.55,10464685.0,0.0,0.24,0.02,1042.86,0.24,2155768.8,385.43,True,0,,3.23,3.58,True
13-06-2024 11:00,ENKAI,40.74,41.66,40.68,41.64,4042952.0,0.02,0.9,0.15,500.0,0.9,1382316.7,192.48,True,0,,39.68,41.82,False
13-06-2024 10:00,DMRGD,13.2,13.63,13.1,13.59,453794.0,0.04,0.39,0.0,12900.0,0.39,234144.9,93.81,True,0,,13.01,13.94,False
13-06-2024 10:00,SOKM,62.95,65.1,62.9,64.7,6532396.0,0.4,1.75,0.3,483.33,1.75,1346595.0,385.1,True,1,65.1,59.05,65.1,False
13-06-2024 10:00,ANSGR,108.9,112.2,108.9,111.8,411622.0,0.4,2.9,0.3,866.67,2.9,171126.5,140.54,True,0,,106.5,ATH,True
13-06-2024 10:00,ANHYT,118.5,123.7,118.4,123.0,635261.0,0.7,4.5,0.66,581.82,4.5,265100.8,139.63,True,0,,113.3,ATH,False
13-06-2024 10:00,INFO,10.28,10.47,10.26,10.45,383306.0,0.02,0.17,0.02,580.0,0.17,213958.3,79.15,True,0,,9.88,10.59,False
13-06-2024 10:00,ECILC,49.74,50.55,49.74,50.45,446402.0,0.1,0.71,0.04,1720.51,0.71,216600.7,106.09,True,0,,49.24,50.7,True
13-06-2024 10:00,EMKEL,12.05,12.27,12.02,12.23,282397.0,0.04,0.18,0.01,1185.71,0.18,134297.5,110.28,True,0,,11.95,12.48,True
13-06-2024 10:00,TKNSA,33.58,34.32,33.54,34.26,643845.0,0.06,0.68,0.08,771.79,0.68,223563.5,187.99,True,0,,32.88,36.46,True
13-06-2024 10:00,CIMSA,29.58,30.14,29.58,30.08,1403228.0,0.06,0.5,0.07,575.68,0.5,607095.4,131.14,True,0,,29.1,31.28,True
13-06-2024 10:00,KFEIN,118.9,128.8,118.9,127.5,347809.0,1.3,8.6,1.1,681.82,8.6,96877.1,259.02,True,0,,113.2,ATH,False
13-06-2024 10:00,FZLGY,11.88,12.12,11.87,12.09,589226.0,0.03,0.21,0.02,1005.26,0.21,272384.3,116.32,True,0,,11.75,12.62,True
13-06-2024 10:00,TMSN,131.7,136.2,131.6,135.5,638679.0,0.7,3.8,0.38,900.0,3.8,201269.7,217.32,True,0,,129.2,147.4,True
13-06-2024 10:00,BRLSM,17.86,18.25,17.86,18.2,562773.0,0.05,0.34,0.03,962.5,0.34,218335.5,157.76,True,0,,17.64,18.98,True
13-06-2024 10:00,OZSUB,28.92,31.48,28.6,31.06,554938.0,0.42,2.14,0.38,457.29,2.14,217533.4,155.1,True,0,,26.7,ATH,False
13-06-2024 10:00,BOBET,27.7,28.3,27.7,28.2,646539.0,0.1,0.5,0.06,733.33,0.5,280665.7,130.36,True,0,,27.28,28.84,True
13-06-2024 10:00,IMASM,13.18,13.46,13.17,13.42,1077109.0,0.04,0.24,0.02,1042.86,0.24,374575.2,187.55,True,0,,13.08,13.54,True
13-06-2024 10:00,SAHOL,94.0,95.85,93.5,95.55,4873997.0,0.3,1.55,0.3,408.2,1.55,1802195.3,170.45,True,0,,89.15,ATH,False
