Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
26-12-2024 14:00,TTKOM,45.14,45.72,44.9,45.72,3958351.0,0.0,0.58,0.1,480.0,0.58,1630971.9,142.7,True,70.12,2024-12-26,44.72,2.24,0,,43.54,47.44,False,False
26-12-2024 14:00,YAYLA,19.21,19.51,19.21,19.49,149665.0,0.02,0.28,0.03,865.52,0.28,78402.1,90.89,True,50.91,2024-12-26,19.37,0.62,0,,19.0,20.2,True,True
26-12-2024 13:00,HDFGS,1.55,1.57,1.55,1.57,1996080.0,0.0,0.02,0.0,inf,0.02,1210608.5,64.88,True,60.57,2024-12-26,1.55,1.29,0,,1.53,1.61,False,False
26-12-2024 13:00,VRGYO,3.05,3.1,3.05,3.1,4388692.0,0.0,0.05,0.01,614.29,0.05,2625404.9,67.16,True,70.42,2024-12-26,3.02,2.65,0,,2.9,3.11,False,False
26-12-2024 13:00,BARMA,16.49,16.68,16.42,16.66,270527.0,0.02,0.17,0.04,359.46,0.17,88602.9,205.33,True,66.0,2024-12-26,16.3,2.21,0,,16.02,16.94,False,False
26-12-2024 12:00,DOFER,28.64,29.24,28.54,29.1,102922.0,0.14,0.46,0.05,858.33,0.46,41236.0,149.59,True,58.71,2024-12-26,28.5,2.11,1,29.24,28.28,29.24,False,False
26-12-2024 12:00,AVOD,2.84,2.85,2.83,2.85,343538.0,0.0,0.01,0.0,900.0,0.01,170470.4,101.52,True,53.86,2024-12-26,2.83,0.71,0,,2.82,2.86,False,False
26-12-2024 12:00,MGROS,517.0,522.0,516.5,521.5,142223.0,0.5,4.5,1.0,350.0,4.5,74184.7,91.71,True,77.7,2024-12-26,511.5,1.96,0,,480.0,525.5,False,False
26-12-2024 12:00,EPLAS,5.68,5.78,5.67,5.76,553922.0,0.02,0.08,0.01,471.43,0.08,249332.0,122.16,True,65.81,2024-12-26,5.58,3.23,0,,5.5,5.9,False,False
26-12-2024 12:00,KOCMT,16.64,16.87,16.6,16.87,2033301.0,0.0,0.23,0.04,422.73,0.23,990985.4,105.18,True,69.44,2024-12-26,16.68,1.14,0,,15.95,ATH,False,False
26-12-2024 12:00,GESAN,46.4,47.4,46.38,47.16,757772.0,0.24,0.76,0.08,900.0,0.76,431355.5,75.67,True,62.35,2024-12-26,45.66,3.29,0,,44.52,52.05,False,False
26-12-2024 12:00,KLSYN,5.54,5.65,5.53,5.64,333835.0,0.01,0.1,0.01,1900.0,0.1,151226.4,120.75,True,52.16,2024-12-26,5.56,1.44,1,5.65,5.46,5.65,False,False
26-12-2024 12:00,KLKIM,31.86,32.16,31.86,32.14,489545.0,0.02,0.28,0.07,300.0,0.28,309164.4,58.34,True,82.88,2024-12-26,31.44,2.23,0,,29.92,32.32,False,False
26-12-2024 12:00,GOKNR,23.64,25.4,23.58,25.06,4000952.0,0.34,1.42,0.14,900.0,1.42,709806.7,463.67,True,65.57,2024-12-26,23.1,8.48,1,25.4,21.86,25.4,False,False
26-12-2024 11:00,DURDO,19.93,21.04,19.93,21.04,1347147.0,0.0,1.11,0.16,602.53,1.11,287989.0,367.78,True,78.04,2024-12-26,19.14,9.93,0,,18.81,22.4,False,False
