Tarih,open,high,low,close,volume,Hisse,Ema200,TK,KJ,Spb,TK>KJ,Ema200_%Yakinlik,Ema200_Alaninda,Spb_%Yakinlik,Spb_Alaninda,4S_Wma9,4S_Wma15,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi,sma14,Macd_sinyal,rsi_50>sma14,%Deg,%Vol,VolMov,VolMov_Sinyal,Kapanis_Fark_4S_Wma9,%Kapanis_Fark_4S_Wma9,Kapanis_Fark_4S_Wma15,%Kapanis_Fark_4S_Wma15,Hopen,Hhigh,Hlow,Hclose,Hvolume,HMACD_12_26_9,HMACDh_12_26_9,HMACDs_12_26_9,Hrsi,Hsma14,H_Wma9,H_Wma15,H_FarkWma9_15,H_Tk,H%Deg,H%Vol,HVolMov,HVolMov_Sinyal,HMacd_sinyal,Hrsi>50_sinyal,HwmaSira_sinyal,Kapanis_H_Wma9_Fark,H_Wma9_Yakinlik,Altta_Ustte,OrtAlaninda,Oncekine_goreKucuk,H_Wma(9/15)_%,Rline,OrtalamaSira,H_Wma9_Yakinlik(low-high),OrtAlanindaYeni,KontrolDurum,KontrolDurumY,KapanisXEma200_sonmum,K_Sbp_Kes,KapanisXEma200_son2mum,KapanisX4S_Wma9,KapanisX4S_Wma15,Kapanis>4S_Wma9,Kapanis>4S_Wma15,4S_Wma9X4S_Wma15,KapanisXH_Wma9,H_Wma9XH_Wma15,Arasinda(H_Wma9/H_Wma15)
23-01-2024 13:00,19.3,19.62,18.84,18.99,4298794.0,AGROT,11.4,18.16,16.92,13.18,+_05-01-2024 13:00:00,66.6,-,44.14,-,18.77,18.13,1.18,0.15,1.03,69.35,67.47,+,+,-1.61,-45.7,4687083.67,-,0.22,1.16,0.86,4.75,15.48,18.33,15.06,18.15,93198195.0,,,,,,13.94,,,,17.86,39.61,67019690.33,+,-,-,-,5.05,36.25,+,-,True,,-,H_Wma9:H_Wma15:H_Tk,35.17,-,,,,,,,,+_18-01-2024 13:00:00,+,,,,
23-01-2024 13:00,9.92,9.93,9.82,9.84,828277.0,AGYO,8.61,9.86,9.64,8.69,+_04-01-2024 13:00:00,14.24,-,13.23,-,9.89,9.83,0.18,-0.01,0.2,57.36,59.9,-,-,-0.81,-33.67,871881.33,-,0.05,0.52,0.01,0.08,9.4,10.25,9.13,9.8,22120576.0,1.08,-0.04,1.12,65.57,64.39,9.14,8.88,0.26,8.44,4.26,46.6,16286309.33,+,-,+,+,0.7,7.62,+,-,True,2.96,-,H_Wma9:H_Wma15:H_Tk,7.41,-,,,,,,-,,-_23-01-2024 13:00:00,+,,,,
23-01-2024 13:00,12.13,12.24,12.07,12.21,2535531.0,AHGAZ,11.6,11.92,11.53,10.32,+_12-01-2024 13:00:00,5.24,-,18.37,-,12.11,11.8,0.5,0.11,0.39,82.1,76.58,+,+,0.66,-68.12,4827424.67,-,0.1,0.84,0.41,3.45,10.37,12.1,10.36,12.1,66466621.0,0.04,-0.5,0.53,52.81,51.25,11.13,11.63,0.5,12.05,16.8,61.75,45464472.33,+,-,+,-,1.08,9.72,+,-,False,-4.29,-,H_Tk:H_Wma15:H_Wma9,8.46,-,,,,,,,,+_17-01-2024 09:00:00,+,,,,
23-01-2024 13:00,39.22,39.24,38.64,38.92,21885152.0,AKBNK,36.01,40.41,41.45,38.34,-_19-01-2024 09:00:00,8.07,-,1.51,+,39.92,40.46,-0.24,-0.44,0.2,35.05,49.41,-,-,-0.76,-63.92,31945550.0,-,1.0,2.5,1.54,3.8,43.18,43.6,40.26,40.92,485324129.0,4.25,0.62,3.64,67.83,65.88,38.88,36.7,2.18,35.89,-5.41,-37.99,524021878.67,-,+,+,+,0.04,0.1,+,+,True,5.95,-,H_Wma9:H_Wma15:H_Tk,-0.62,+,,,,,,,,-_18-01-2024 17:00:00,-,,,,
23-01-2024 13:00,161.3,162.1,159.6,160.1,124618.0,AKCNS,148.7,160.9,155.9,138.7,+_28-12-2023 17:00:00,7.67,-,15.43,-,160.76,160.59,3.05,-0.35,3.4,57.72,64.83,-,-,-0.74,-75.63,249747.0,-,0.66,0.41,0.49,0.31,154.5,164.3,150.3,162.0,4943677.0,11.26,-5.34,16.6,62.68,61.46,146.18,149.13,2.96,160.75,4.79,-19.95,5044972.33,-,-,+,-,13.92,9.53,+,-,True,-1.98,-,H_Tk:H_Wma15:H_Wma9,9.18,-,,,,,,-,-,-_23-01-2024 13:00:00,-,,,,
23-01-2024 13:00,4.48,4.5,4.47,4.49,503480.0,AKENR,4.72,4.44,4.57,4.31,-_22-01-2024 09:00:00,-4.78,-,4.18,-,4.45,4.44,0.02,0.0,0.02,61.37,55.59,+,+,0.22,-67.34,945857.0,-,0.04,0.98,0.05,1.12,4.34,4.9,4.34,4.37,18876745.0,-0.16,-0.15,-0.01,40.64,46.1,4.44,4.65,0.2,5.58,0.92,62.45,15034256.0,+,-,-,-,0.05,1.05,+,+,False,-4.36,-,H_Tk:H_Wma15:H_Wma9,0.6,+,Arasinda,,,,,,,+_22-01-2024 09:00:00,+,,,,
23-01-2024 13:00,1.96,1.97,1.94,1.96,42672645.0,AKFGY,2.06,1.92,1.92,1.86,+_23-01-2024 09:00:00,-4.7,-,5.66,-,1.92,1.91,0.01,0.01,0.01,61.78,52.01,+,+,0.0,-53.65,50575762.67,-,0.04,2.02,0.05,2.54,1.89,1.95,1.86,1.87,573549707.0,-0.1,-0.06,-0.04,40.86,46.01,1.94,2.03,0.09,2.26,-1.06,33.94,439380799.33,+,-,-,-,0.02,0.97,+,+,False,-4.33,-,H_Tk:H_Wma15:H_Wma9,-0.06,+,,,,,,,,+_22-01-2024 09:00:00,+,,,,
23-01-2024 13:00,19.03,19.15,18.98,19.09,4966594.0,AKFYE,16.8,18.84,17.99,14.94,+_02-01-2024 09:00:00,13.66,-,27.78,-,19.01,18.92,0.59,-0.06,0.65,75.16,82.9,-,-,0.37,-32.48,11564661.67,-,0.08,0.43,0.17,0.91,17.85,19.01,17.85,18.76,89945220.0,1.07,-0.48,1.55,60.97,60.99,16.63,17.06,0.44,17.57,5.33,22.5,66937933.33,+,-,+,-,2.46,14.82,+,-,False,-2.56,-,H_Tk:H_Wma15:H_Wma9,14.16,-,,,,,,,,+_19-01-2024 17:00:00,+,,,,
23-01-2024 13:00,6.47,6.48,6.37,6.42,4850499.0,AKGRT,5.79,6.44,6.18,5.34,+_29-12-2023 09:00:00,10.91,-,20.22,-,6.44,6.42,0.15,-0.02,0.17,59.17,68.08,-,-,-0.77,-56.45,9151289.0,-,0.02,0.35,0.0,0.03,6.12,6.53,6.08,6.31,149162019.0,0.43,-0.17,0.6,58.44,54.52,5.74,5.77,0.04,6.8,3.1,-24.15,166868194.0,-,-,+,-,0.68,11.91,+,-,True,-0.66,-,H_Tk:H_Wma15:H_Wma9,11.04,-,,,,,,-,-,-_23-01-2024 13:00:00,-,,,,
23-01-2024 13:00,186.5,186.8,184.0,186.0,38700.0,AKMGY,148.1,184.75,169.75,136.85,+_02-01-2024 09:00:00,25.59,-,35.92,-,186.4,183.69,9.83,0.33,9.51,64.17,69.39,+,-,-0.27,-81.69,98990.33,-,0.4,0.22,2.31,1.26,158.2,188.0,153.1,178.0,1683145.0,15.14,-2.35,17.49,68.75,62.91,150.72,150.43,0.29,152.85,12.23,180.84,925567.33,+,-,+,-,35.28,23.41,+,-,True,0.19,+,H_Tk:H_Wma9:H_Wma15,22.08,-,,,,,,-,,-_23-01-2024 13:00:00,+,,,,
